sqft_area,bedrooms,bathrooms,price
1360,3,2,1296758
4272,5,4,1329040
3592,4,3,1341158
966,3,1,777618
4926,5,5,1567517
3944,5,4,1457558
3671,5,4,1309709
3419,5,3,1342878
630,3,2,58899
2185,3,3,767320
1269,2,2,567554
2891,4,2,1029514
2933,4,5,1237504
1684,3,2,692722
3885,5,5,935012
4617,5,4,1542079
3404,4,4,840230
974,3,2,228655
1582,3,2,450872
3058,4,4,946645
2547,3,4,430818
3247,3,3,1260973
1475,3,3,249871
2306,4,3,1169027
689,2,2,50000
3234,4,3,1328980
3505,4,5,1089144
2399,4,3,370643
1767,3,2,341009
2028,3,3,1008617
3702,5,4,1277662
4056,4,5,1214317
4390,6,5,823309
1146,3,2,793891
3388,4,5,1534605
2935,4,4,1365754
1100,2,1,241188
2863,4,3,1011449
2561,3,3,933285
741,3,1,50000
2541,4,2,870373
3324,4,3,1298760
3112,4,3,1169119
1863,3,3,357959
1978,3,2,438846
3056,4,3,1161648
1275,3,3,646963
4514,5,5,814960
534,2,2,50000
3652,4,4,1103866
2455,4,2,656336
2085,4,3,646674
4443,4,4,1217927
3573,5,4,1379255
1521,4,2,596142
3961,5,4,1297159
3113,4,3,642671
4343,5,5,494726
2000,4,2,970885
661,2,3,841051
4797,5,4,1353602
2481,4,4,892578
1495,4,2,644879
3842,4,4,1589323
4298,5,5,1546746
1775,3,2,727766
1516,4,3,592893
837,3,1,374308
1378,3,3,154634
1576,3,2,458128
4493,5,5,1594800
879,2,1,281324
992,2,1,379087
2562,4,3,546468
4384,5,4,1447376
564,2,1,50000
3068,4,3,1039470
2527,4,4,794943
3195,4,5,582928
1995,4,2,956119
891,4,1,361783
4974,6,5,1988694
4061,4,4,1594813
2778,4,4,684633
3599,4,5,921820
700,3,2,50000
3604,4,5,724384
2954,4,3,832955
4145,5,4,1637186
1304,3,2,50000
3231,5,3,1250736
3273,4,4,1220334
2070,3,3,826173
3190,4,3,1180793
4340,5,4,1048944
1528,3,3,742392
1002,3,3,283185
4993,6,5,913451
1370,2,2,486853
4988,6,5,1315973
