sqrt_area,bedrooms,bathrooms,price
1360,3,3,1476000
4272,3,1,4374000
3592,5,1,3724000
966,6,4,1134000
4926,4,3,5057000
3944,2,5,4059000
3671,5,3,3817000
3419,6,4,3587000
630,5,4,783000
2185,7,3,2361000
1269,6,4,1437000
2891,6,3,3052000
2933,4,2,3057000
1684,6,3,1845000
3885,5,3,4031000
4617,6,4,4785000
3404,4,4,3542000
974,4,1,1091000
1582,7,1,1744000
3058,5,2,3197000
2547,3,1,2649000
3247,3,3,3363000
1475,6,4,1643000
2306,7,1,2468000
689,2,1,776000
3234,6,2,3388000
3505,7,2,3674000
2399,5,3,2545000
1767,5,4,1920000
2028,5,2,2167000
3702,5,1,3834000
4056,5,4,4209000
4390,7,4,4573000
1146,7,1,1308000
3388,4,2,3512000
2935,3,1,3037000
1100,5,4,1253000
2863,2,5,2978000
2561,7,5,2751000
741,2,3,842000
2541,2,1,2628000
3324,2,1,3411000
3112,4,3,3243000
1863,7,3,2039000
1978,2,3,2079000
3056,5,4,3209000
1275,6,1,1422000
4514,2,4,4622000
534,4,3,665000
3652,7,1,3814000
2455,4,4,2593000
2085,2,4,2193000
4443,7,3,4619000
3573,6,1,3720000
1521,2,3,1622000
3961,4,1,4078000
3113,3,5,3243000
4343,5,2,4482000
2000,4,2,2124000
661,7,2,830000
4797,2,3,4898000
2481,5,5,2641000
1495,2,1,1582000
3842,7,4,4025000
4298,2,1,4385000
1775,3,4,1898000
1516,5,1,1648000
837,5,5,997000
1378,7,4,1561000
1576,3,3,1692000
4493,4,1,4610000
879,2,1,966000
992,6,4,1160000
2562,2,3,2663000
4384,2,3,4485000
564,4,5,709000
3068,2,3,3169000
2527,3,3,2643000
3195,3,3,3311000
1995,5,2,2134000
891,7,5,1081000
4974,6,1,5121000
4061,2,4,4169000
2778,2,1,2865000
3599,4,5,3744000
700,7,4,883000
3604,3,5,3734000
2954,6,3,3115000
4145,5,4,4298000
1304,3,3,1420000
3231,7,1,3393000
3273,5,1,3405000
2070,4,4,2208000
3190,4,4,3328000
4340,2,5,4455000
1528,7,5,1718000
1002,6,3,1163000
4993,5,4,5146000
1370,3,1,1472000
4988,7,5,5178000
