H size,k (num classes),beta,training term,cv term,part (a) bound,part (c) bound,eps_star,final model bound
1000,2,0.1,0.1219,0.3186,0.1593,0.1584,0.05,0.5605
1000,2,0.2,0.1293,0.2253,0.1126,0.168,0.05,0.4746
1000,2,0.4,0.1493,0.1593,0.0796,0.194,0.05,0.4286
1000,10,0.1,0.1219,0.3656,0.1828,0.1584,0.05,0.6075
1000,10,0.2,0.1293,0.2585,0.1293,0.168,0.05,0.5078
1000,10,0.4,0.1493,0.1828,0.0914,0.194,0.05,0.4521
1000,100,0.1,0.1219,0.424,0.212,0.1584,0.05,0.6658
1000,100,0.2,0.1293,0.2998,0.1499,0.168,0.05,0.5491
1000,100,0.4,0.1493,0.212,0.106,0.194,0.05,0.4813
1000,1000,0.1,0.1219,0.4752,0.2376,0.1584,0.05,0.7171
1000,1000,0.2,0.1293,0.336,0.168,0.168,0.05,0.5853
1000,1000,0.4,0.1493,0.2376,0.1188,0.194,0.05,0.5069
1000,2,0.1,0.1413,0.3186,0.1593,0.1584,0.05,0.5499
1000,2,0.2,0.1499,0.2253,0.1126,0.168,0.05,0.4652
1000,2,0.4,0.1731,0.1593,0.0796,0.194,0.05,0.4224
1000,10,0.1,0.1413,0.3656,0.1828,0.1584,0.05,0.597
1000,10,0.2,0.1499,0.2585,0.1293,0.168,0.05,0.4984
1000,10,0.4,0.1731,0.1828,0.0914,0.194,0.05,0.4459
1000,100,0.1,0.1413,0.424,0.212,0.1584,0.05,0.6553
1000,100,0.2,0.1499,0.2998,0.1499,0.168,0.05,0.5397
1000,100,0.4,0.1731,0.212,0.106,0.194,0.05,0.4751
1000,1000,0.1,0.1413,0.4752,0.2376,0.1584,0.05,0.7065
1000,1000,0.2,0.1499,0.336,0.168,0.168,0.05,0.5759
1000,1000,0.4,0.1731,0.2376,0.1188,0.194,0.05,0.5007
1000,2,0.1,0.1584,0.3186,0.1593,0.1584,0.05,0.527
1000,2,0.2,0.168,0.2253,0.1126,0.168,0.05,0.4433
1000,2,0.4,0.194,0.1593,0.0796,0.194,0.05,0.4033
1000,10,0.1,0.1584,0.3656,0.1828,0.1584,0.05,0.574
1000,10,0.2,0.168,0.2585,0.1293,0.168,0.05,0.4765
1000,10,0.4,0.194,0.1828,0.0914,0.194,0.05,0.4268
1000,100,0.1,0.1584,0.424,0.212,0.1584,0.05,0.6324
1000,100,0.2,0.168,0.2998,0.1499,0.168,0.05,0.5178
1000,100,0.4,0.194,0.212,0.106,0.194,0.05,0.456
1000,1000,0.1,0.1584,0.4752,0.2376,0.1584,0.05,0.6836
1000,1000,0.2,0.168,0.336,0.168,0.168,0.05,0.554
1000,1000,0.4,0.194,0.2376,0.1188,0.194,0.05,0.4816
